10.001280,A,slurping,2
10.001304,H,idle
10.001312,H,slurping,0
10.001332,C,idle
10.001338,C,slurping,1
10.001364,F,idle
10.001373,F,slurping,2
10.001389,G,idle
10.001399,G,slurping,0
10.001415,E,idle
10.001421,E,slurping,1
10.001425,D,idle
10.001429,D,slurping,2
10.002135,K,swallowing
10.002172,J,swallowing
10.003017,I,idle
10.003057,I,slurping,0
10.003172,B,idle
10.003175,B,slurping,1
11.001393,A,swallowing
11.001418,H,swallowing
11.001438,C,swallowing
11.001491,D,swallowing
11.001509,E,swallowing
11.001526,F,swallowing
11.001553,G,swallowing
11.002206,K,idle
11.002257,J,idle
11.002291,K,slurping,2
11.002314,J,slurping,0
11.003141,I,swallowing
11.003255,B,swallowing
12.001511,A,idle
12.001528,A,slurping,0
12.001565,C,idle
12.001598,F,idle
12.001599,D,idle
12.001607,F,slurping,1
12.001618,H,idle
12.001631,H,slurping,0
12.001646,D,slurping,2
12.001663,C,slurping,1
12.001677,G,idle
12.001690,G,slurping,1
12.001702,E,idle
12.001709,E,slurping,2
12.002372,K,swallowing
12.002386,J,swallowing
12.003225,I,idle
12.003287,I,slurping,2
12.003337,B,idle
12.003341,B,slurping,0
13.001622,A,swallowing
13.001699,F,swallowing
13.001713,H,swallowing
13.001725,C,swallowing
13.001729,G,swallowing
13.001739,D,swallowing
13.001776,E,swallowing
13.002458,K,idle
13.002468,J,idle
13.002517,K,slurping,0
13.002576,J,slurping,1
13.003365,I,swallowing
13.003420,B,swallowing
14.001738,A,idle
14.001750,A,slurping,2
14.001790,F,idle
14.001798,F,slurping,0
14.001821,G,idle
14.001832,G,slurping,1
14.001847,E,idle
14.001856,E,slurping,2
14.001869,H,idle
14.001882,D,idle
14.001893,D,slurping,1
14.001905,H,slurping,0
14.002093,C,idle
14.002103,C,slurping,2
14.002592,K,swallowing
14.002647,J,swallowing
14.003443,I,idle
14.003496,B,idle
14.003523,I,slurping,0
14.003574,B,slurping,1
15.001840,A,swallowing
15.001900,E,swallowing
15.001921,F,swallowing
15.001933,G,swallowing
15.001963,D,swallowing
15.001975,H,swallowing
15.002187,C,swallowing
15.002665,K,idle
15.002716,J,idle
15.002750,K,slurping,2
15.002801,J,slurping,0
15.003600,I,swallowing
15.003650,B,swallowing
16.001953,A,idle
16.001958,A,slurping,0
16.001993,E,idle
16.002012,G,idle
16.002023,G,slurping,1
16.002046,H,idle
16.002047,F,idle
16.002062,H,slurping,2
16.002076,D,idle
16.002082,D,slurping,1
16.002098,E,slurping,1
16.002110,F,slurping,0
16.002268,C,idle
16.002272,C,slurping,2
16.002881,K,swallowing
16.002918,J,swallowing
16.003673,I,idle
16.003726,B,idle
16.003750,B,slurping,2
16.003801,I,slurping,0
17.002049,A,swallowing
17.002132,G,swallowing
17.002151,H,swallowing
17.002167,D,swallowing
17.002191,E,swallowing
17.002206,F,swallowing
17.002344,C,swallowing
17.002991,K,idle
17.003003,K,slurping,0
17.003025,J,idle
17.003034,J,slurping,1
17.003828,B,swallowing
17.003881,I,swallowing
18.002153,A,idle
18.002159,A,slurping,2
18.002219,G,idle
18.002228,G,slurping,0
18.002251,H,idle
18.002258,D,idle
18.002274,F,idle
18.002287,F,slurping,0
18.002304,E,idle
18.002309,E,slurping,1
18.002321,H,slurping,1
18.002333,D,slurping,2
18.002419,C,idle
18.002424,C,slurping,2
18.003088,K,swallowing
18.003114,J,swallowing
18.003932,B,idle
18.003946,I,idle
18.004002,B,slurping,0
18.004036,I,slurping,1
19.002258,A,swallowing
19.002314,G,swallowing
19.002369,F,swallowing
19.002389,E,swallowing
19.002400,H,swallowing
19.002422,D,swallowing
19.002501,C,swallowing
19.003193,K,idle
19.003205,K,slurping,2
19.003219,J,idle
19.003229,J,slurping,0
19.004087,B,swallowing
19.004106,I,swallowing
20.002359,A,idle
20.002364,A,slurping,0
20.002413,G,idle
20.002420,G,slurping,1
20.002455,F,idle
20.002462,F,slurping,1
20.002480,E,idle
20.002504,E,slurping,2
20.002521,H,idle
20.002532,H,slurping,0
20.002552,D,idle
20.002572,D,slurping,1
20.002585,C,idle
20.002591,C,slurping,2
20.003288,K,swallowing
20.003307,J,swallowing
20.004171,B,idle
20.004187,I,idle
20.004207,I,slurping,2
20.004232,B,slurping,0
21.002457,A,swallowing
21.002510,F,swallowing
21.002532,G,swallowing
21.002582,E,swallowing
21.002599,H,swallowing
21.002656,D,swallowing
21.002666,C,swallowing
